cohort,kind,support,n_cols,divergence
lung,real,451,106,1.4629696615336902
lung,real,433,87,1.5746265277810934
lung,real,420,19,1.0440829883232556
lung,real,344,76,3.1792058184991823
lung,real,323,82,1.4533901162625165
lung,real,320,76,3.002375920757208
lung,real,314,82,1.8469349908176058
lung,real,303,85,1.5145319050334354
lung,real,302,79,2.367648537621821
lung,real,279,99,2.516482765943831
lung,real,272,85,2.0151064085639567
lung,real,270,105,1.3546826105966214
lung,real,270,79,2.82241688095983
lung,real,242,80,1.47829586091467
lung,real,231,98,2.9768547303191673
lung,real,208,104,1.4792602094447531
lung,real,204,74,3.071017813396882
lung,real,187,82,2.8778745175997535
lung,real,181,82,3.1921693513910143
lung,null,1144,94,2.775604951125195
lung,null,1089,100,1.9757535101990533
lung,null,1052,93,2.2994390056583267
lung,null,1039,80,2.678786815736516
lung,null,914,86,2.1939948259849746
lung,null,906,99,2.401626138725133
lung,null,840,75,2.835157203726112
lung,null,823,14,1.3361268409702058
lung,null,798,81,2.436570383894232
lung,null,791,99,2.650905425812486
lung,null,790,95,3.2752617522576775
lung,null,756,105,2.23485194116203
lung,null,722,101,2.290839964682967
lung,null,630,100,3.018560681421199
lung,null,620,94,2.9246267577817076
lung,null,555,98,3.5777277779094923
lung,null,507,87,2.5368862474673066
lung,null,501,81,2.7613577557164715
lung,null,500,104,2.3410698943896033
lung,null,487,100,3.1676399932868278
lung,null,483,81,3.0643476970606796
lung,null,451,106,2.4963851473399497
lung,null,433,87,2.677673989488093
lung,null,420,19,1.575471560263144
lung,null,344,76,3.2817897290517104
lung,null,323,82,1.977982894618521
lung,null,320,76,2.9951208861303504
lung,null,314,82,2.4207623258920163
lung,null,303,85,2.487087530301526
lung,null,302,79,2.878386453571318
lung,null,279,99,2.907721507102239
lung,null,272,85,2.5027145168703284
lung,null,270,79,2.469060809190478
lung,null,270,105,2.0223955322574283
lung,null,242,80,2.0365354849234487
lung,null,231,98,2.3438318243947633
lung,null,208,104,1.8961027807093238
lung,null,204,74,2.5801707278959696
lung,null,187,82,2.144021171730971
lung,null,181,82,1.783238943308903
ovarian,real,2035,99,2.7256297456556524
ovarian,real,1943,98,2.739084473133096
ovarian,real,1797,107,2.960551318704293
ovarian,real,1642,106,3.1948874815030943
ovarian,real,1538,104,2.611099804721978
ovarian,real,1440,100,2.875878714328967
ovarian,real,1321,112,3.324810731133153
ovarian,real,1175,99,2.9124472617960095
ovarian,real,1007,103,2.3593817607187226
ovarian,real,892,105,3.6920799281005916
ovarian,real,840,111,2.9041733070693323
ovarian,real,776,108,3.0605143660665854
ovarian,real,635,107,3.4086677238943173
ovarian,real,588,14,1.0284245444765323
ovarian,real,545,104,3.7418803309654196
ovarian,real,516,104,3.032070520301519
ovarian,real,508,113,3.0142221656972996
ovarian,real,450,103,3.596177500825045
ovarian,real,445,103,3.151400393763027
ovarian,real,416,17,1.3456882282663734
ovarian,real,362,111,3.553801874243326
ovarian,real,337,100,2.962165037744125
ovarian,real,317,109,1.4078212149014278
