dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_mimic4_regime,4,2257,16,0.8914488258750554,22,0.9937517750639022,0.9845265143830891,0.5251856209680692
cand_mimic4_regime,6,690,16,0.4811594202898551,22,0.9689960961163088,0.9638217675169953,0.5244287204684661
cand_mimic4_regime,7,4555,16,0.581119648737651,22,0.9716038646654297,0.9717495935036619,0.5437148894480441
cand_mimic4_regime,8,3510,16,0.5108262108262108,22,0.9570427089623434,0.9581011511472332,0.5272355997779496
cand_mimic4_regime,POOLED,33531,17,0.4820613760400823,22,0.9539321197661779,nan,0.5569127094628479
cand_mimic4_regime,0,5976,17,0.14139892904953147,22,0.9920565215034729,0.9929240871417386,0.579572940439768
cand_mimic4_regime,1,3819,17,0.6496465043205027,22,0.925775957064422,0.9254200383301733,0.5242389243452028
cand_mimic4_regime,2,6957,17,0.47922955296823344,22,0.9340449878558652,0.9338379770913054,0.5165354453260604
cand_mimic4_regime,3,5280,17,0.5869318181818182,22,0.8954319470317664,0.8986337904034654,0.5201501896974945
cand_mimic4_regime,4,2257,17,0.8715108551174124,22,0.9355661518503586,0.9368590361656997,0.5008721490805182
cand_mimic4_regime,6,690,17,0.4405797101449275,22,0.9769182915189528,0.9744043155167712,0.5145725388601036
cand_mimic4_regime,7,4555,17,0.5066959385290889,22,0.9434208060198115,0.9503143609927813,0.5491402362788359
cand_mimic4_regime,8,3510,17,0.4074074074074074,22,0.9434849045185583,0.9412146987627756,0.512356273534158
cand_mimic4_regime,POOLED,33531,18,0.848468581312815,22,0.8210048739419644,nan,0.5432565237528143
cand_mimic4_regime,0,5976,18,0.8729919678714859,22,0.796050486614779,0.8180329433798443,0.5418879900841048
cand_mimic4_regime,1,3819,18,0.8478659334904425,22,0.832289007791512,0.8285120540398601,0.5361028513595545
cand_mimic4_regime,2,6957,18,0.7590915624550812,22,0.8033733870103976,0.8095121024214785,0.5436490137336578
cand_mimic4_regime,3,5280,18,0.812689393939394,22,0.7880606503748175,0.7931529038015231,0.5659625962492569
cand_mimic4_regime,4,2257,18,0.9893664155959238,22,0.8948723690103001,0.8681706224809673,0.548598671443499
cand_mimic4_regime,6,690,18,0.9115942028985508,22,0.7835622507753655,0.7438296541478798,0.5593578149026558
